Algorithm	Rank	Accuracy
ConvNetWord	1	0.9170569789826741
ConvNetWord	2	0.9807093099410562
ConvNetWord	3	0.9930984182428008
ConvNetWord	4	0.9971570047829798
ConvNetWord	5	0.9986554071486693
ConvNetWord	6	0.999300414789529
ConvNetWord	7	0.9996427649989085
ConvNetWord	8	0.9998015361105047
ConvNetWord	9	0.9999106912497271
ConvNetWord	10	0.9999404608331514
ConvNetWordAndCharNoiseSd0.00	1	0.9268958263044039
ConvNetWordAndCharNoiseSd0.00	2	0.9829221823089289
ConvNetWordAndCharNoiseSd0.00	3	0.9940956992875146
ConvNetWordAndCharNoiseSd0.00	4	0.9976829340901423
ConvNetWordAndCharNoiseSd0.00	5	0.9989332565939627
ConvNetWordAndCharNoiseSd0.00	6	0.9994591859011253
ConvNetWordAndCharNoiseSd0.00	7	0.999702304165757
ConvNetWordAndCharNoiseSd0.00	8	0.9998114593049795
ConvNetWordAndCharNoiseSd0.00	9	0.9998908448607776
ConvNetWordAndCharNoiseSd0.00	10	0.9999206144442019
ConvNetWordAndCharNoiseSd0.01	1	0.9290144283247663
ConvNetWordAndCharNoiseSd0.01	2	0.9838003850199456
ConvNetWordAndCharNoiseSd0.01	3	0.9944132415107071
ConvNetWordAndCharNoiseSd0.01	4	0.997613471728819
ConvNetWordAndCharNoiseSd0.01	5	0.9989034870105384
ConvNetWordAndCharNoiseSd0.01	6	0.9994790322900748
ConvNetWordAndCharNoiseSd0.01	7	0.9996973425685196
ConvNetWordAndCharNoiseSd0.01	8	0.9997965745132673
ConvNetWordAndCharNoiseSd0.01	9	0.9998858832635402
ConvNetWordAndCharNoiseSd0.01	10	0.9999156528469645
ConvNetWordAndCharNoiseSd0.02	1	0.9511381904062556
ConvNetWordAndCharNoiseSd0.02	2	0.9894665290650366
ConvNetWordAndCharNoiseSd0.02	3	0.99651199714212
ConvNetWordAndCharNoiseSd0.02	4	0.9986355607597198
ConvNetWordAndCharNoiseSd0.02	5	0.9994046083315141
ConvNetWordAndCharNoiseSd0.02	6	0.9996973425685196
ConvNetWordAndCharNoiseSd0.02	7	0.9998610752773532
ConvNetWordAndCharNoiseSd0.02	8	0.9999106912497271
ConvNetWordAndCharNoiseSd0.02	9	0.9999503840276261
ConvNetWordAndCharNoiseSd0.02	10	0.9999702304165757
ConvNetWordAndCharNoiseSd0.03	1	0.9522247802012423
ConvNetWordAndCharNoiseSd0.03	2	0.9896054537876833
ConvNetWordAndCharNoiseSd0.03	3	0.9964772659614584
ConvNetWordAndCharNoiseSd0.03	4	0.9986157143707702
ConvNetWordAndCharNoiseSd0.03	5	0.999429416317701
ConvNetWordAndCharNoiseSd0.03	6	0.9996874193740449
ConvNetWordAndCharNoiseSd0.03	7	0.9998064977077421
ConvNetWordAndCharNoiseSd0.03	8	0.999895806458015
ConvNetWordAndCharNoiseSd0.03	9	0.9999305376386767
ConvNetWordAndCharNoiseSd0.03	10	0.9999404608331514
ConvNetWordAndCharNoiseSd0.04	1	0.951440847837736
ConvNetWordAndCharNoiseSd0.04	2	0.9894268362871376
ConvNetWordAndCharNoiseSd0.04	3	0.9964623811697462
ConvNetWordAndCharNoiseSd0.04	4	0.9985809831901086
ConvNetWordAndCharNoiseSd0.04	5	0.9993599539563777
ConvNetWordAndCharNoiseSd0.04	6	0.9997122273602318
ConvNetWordAndCharNoiseSd0.04	7	0.9998362672911664
ConvNetWordAndCharNoiseSd0.04	8	0.9998858832635402
ConvNetWordAndCharNoiseSd0.04	9	0.9999305376386767
ConvNetWordAndCharNoiseSd0.04	10	0.9999454224303888
ConvNetWordAndCharNoiseSd0.05	1	0.9465586361561514
ConvNetWordAndCharNoiseSd0.05	2	0.9881715521860798
ConvNetWordAndCharNoiseSd0.05	3	0.996214301307877
ConvNetWordAndCharNoiseSd0.05	4	0.9983775577033759
ConvNetWordAndCharNoiseSd0.05	5	0.999325222775716
ConvNetWordAndCharNoiseSd0.05	6	0.9996477265961459
ConvNetWordAndCharNoiseSd0.05	7	0.9998164209022169
ConvNetWordAndCharNoiseSd0.05	8	0.9998809216663028
ConvNetWordAndCharNoiseSd0.05	9	0.9999255760414393
ConvNetWordAndCharNoiseSd0.05	10	0.9999503840276261
ConvNetWordAndCharNoiseSd0.06	1	0.954268958263044
ConvNetWordAndCharNoiseSd0.06	2	0.990741659555044
ConvNetWordAndCharNoiseSd0.06	3	0.9968543473514994
ConvNetWordAndCharNoiseSd0.06	4	0.9987347927044674
ConvNetWordAndCharNoiseSd0.06	5	0.9994641474983627
ConvNetWordAndCharNoiseSd0.06	6	0.9997519201381309
ConvNetWordAndCharNoiseSd0.06	7	0.999856113680116
ConvNetWordAndCharNoiseSd0.06	8	0.9999255760414393
ConvNetWordAndCharNoiseSd0.06	9	0.9999503840276261
ConvNetWordAndCharNoiseSd0.06	10	0.9999702304165757
ConvNetWordAndCharNoiseSd0.07	1	0.9396967471768511
ConvNetWordAndCharNoiseSd0.07	2	0.9860628733601922
ConvNetWordAndCharNoiseSd0.07	3	0.9953162522079108
ConvNetWordAndCharNoiseSd0.07	4	0.9980203227022844
ConvNetWordAndCharNoiseSd0.07	5	0.9991019509000337
ConvNetWordAndCharNoiseSd0.07	6	0.9995832258320598
ConvNetWordAndCharNoiseSd0.07	7	0.9997618433326056
ConvNetWordAndCharNoiseSd0.07	8	0.9998809216663028
ConvNetWordAndCharNoiseSd0.07	9	0.9999156528469645
ConvNetWordAndCharNoiseSd0.07	10	0.9999503840276261
ConvNetWordAndCharNoiseSd0.08	1	0.9405551034989184
ConvNetWordAndCharNoiseSd0.08	2	0.9866483418342032
ConvNetWordAndCharNoiseSd0.08	3	0.9953509833885724
ConvNetWordAndCharNoiseSd0.08	4	0.9980352074939964
ConvNetWordAndCharNoiseSd0.08	5	0.9990622581221347
ConvNetWordAndCharNoiseSd0.08	6	0.9995435330541608
ConvNetWordAndCharNoiseSd0.08	7	0.9997469585408935
ConvNetWordAndCharNoiseSd0.08	8	0.9998511520828786
ConvNetWordAndCharNoiseSd0.08	9	0.9999007680552523
ConvNetWordAndCharNoiseSd0.08	10	0.9999255760414393
ConvNetWordAndCharNoiseSd0.09	1	0.9303242899954354
ConvNetWordAndCharNoiseSd0.09	2	0.9835374203663644
ConvNetWordAndCharNoiseSd0.09	3	0.994204854426737
ConvNetWordAndCharNoiseSd0.09	4	0.9976482029094806
ConvNetWordAndCharNoiseSd0.09	5	0.9988935638160636
ConvNetWordAndCharNoiseSd0.09	6	0.9994641474983627
ConvNetWordAndCharNoiseSd0.09	7	0.9997320737491814
ConvNetWordAndCharNoiseSd0.09	8	0.9998461904856412
ConvNetWordAndCharNoiseSd0.09	9	0.9999007680552523
ConvNetWordAndCharNoiseSd0.09	10	0.9999305376386767
ConvNetWordAndCharNoiseSd0.10	1	0.9506023379046182
ConvNetWordAndCharNoiseSd0.10	2	0.9896550697600571
ConvNetWordAndCharNoiseSd0.10	3	0.9966310754758172
ConvNetWordAndCharNoiseSd0.10	4	0.998625637565245
ConvNetWordAndCharNoiseSd0.10	5	0.9994542243038879
ConvNetWordAndCharNoiseSd0.10	6	0.9997320737491814
ConvNetWordAndCharNoiseSd0.10	7	0.9998511520828786
ConvNetWordAndCharNoiseSd0.10	8	0.9999354992359141
ConvNetWordAndCharNoiseSd0.10	9	0.9999652688193383
ConvNetWordAndCharNoiseSd0.10	10	0.9999801536110504
FeedForwardEmbedding	1	0.9256703117867704
FeedForwardEmbedding	2	0.9830908766149999
FeedForwardEmbedding	3	0.994060968106853
FeedForwardEmbedding	4	0.9975985869371068
FeedForwardEmbedding	5	0.9989183718022506
FeedForwardEmbedding	6	0.999429416317701
FeedForwardEmbedding	7	0.9996725345823327
FeedForwardEmbedding	8	0.9997965745132673
FeedForwardEmbedding	9	0.999870998471828
FeedForwardEmbedding	10	0.9999305376386767
GoogleNGram	1	0.8281302716970648
GoogleNGram	2	0.8929783475896561
GoogleNGram	3	0.9087363804155834
GoogleNGram	4	0.9148490682120388
GoogleNGram	5	0.9177218330124833
GoogleNGram	6	0.9189820787107785
GoogleNGram	7	0.9197163951019112
GoogleNGram	8	0.9200140909361542
GoogleNGram	9	0.9201579772560383
GoogleNGram	10	0.9201976700339374
